Company_Name,Job_Opening,Industry,Salary,Job_Url,Excel/VBA,SQL,Python,Google Analytics,R,C語言,Tableau,SAS,Java,SPSS,Linux,Power BI​,HTML,CSS,Google Tag Manager
善農科技股份有限公司,農業數據分析師,專門設計相關業,"月薪38,000元以上",http://www.104.com.tw/job/6p9dg?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
喜滿客京華影城股份有限公司,會議中心管理主管,電影片映演業,待遇面議,http://www.104.com.tw/job/6ukez?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嘉和智能科技股份有限公司,PulseGym健身中心組織訓練業務儲備主管,運動服務業,"月薪30,000~50,000元",http://www.104.com.tw/job/74916?jobsource=jolist_a_relevance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嘉里大榮物流股份有限公司,價格策略分析師,汽車貨運業,待遇面議,http://www.104.com.tw/job/742c8?jobsource=jolist_a_relevance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國泰世華商業銀行股份有限公司_人力資源部,【通路】分行財管業務規劃暨分析人員,銀行業,待遇面議,http://www.104.com.tw/job/5mq36?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國泰世華商業銀行股份有限公司_人力資源部,【數銀】用戶體驗設計師UX Designer (數數發中心 DDT),銀行業,待遇面議,http://www.104.com.tw/job/6r2ku?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國泰世華商業銀行股份有限公司_人力資源部,"【數據生態營運】風險數據分析師(數數發中心, DDT)",銀行業,"月薪30,000~80,000元",http://www.104.com.tw/job/6oan2?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國泰世華商業銀行股份有限公司_人力資源部,【風管】企金信用風險模型專業人員,銀行業,待遇面議,http://www.104.com.tw/job/6ilyj?jobsource=jolist_a_relevance,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
國泰世華商業銀行股份有限公司_人力資源部,【企劃】財富管理專案企劃專業人員,銀行業,待遇面議,http://www.104.com.tw/job/6vu9u?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國泰世華商業銀行股份有限公司_人力資源部,【中台】數據應用工程師,銀行業,待遇面議,http://www.104.com.tw/job/6auaq?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
